"Name of College","City","State","Minimum Score Required"
"City Colleges of Chicago: Olive-Harvey College","Chicago","Illinois (IL)","3"
"City Colleges of Chicago: Wilbur Wright College","Chicago","Illinois (IL)","3"
"City University of New York: Baruch College","New York","New York (NY)","3"
"City University of New York: Bronx Community College","Bronx","New York (NY)","3"
"City University of New York: Brooklyn College","Brooklyn","New York (NY)","3"
"City University of New York: City College","New York","New York (NY)","3"
"City University of New York: Hunter College","New York","New York (NY)","3"
"City University of New York: John Jay College of Criminal Justice","New York","New York (NY)","3"
"City University of New York: Kingsborough Community College","Brooklyn","New York (NY)","3"
"City University of New York: Lehman College","Bronx","New York (NY)","3"
"City University of New York: New York City College of Technology","Brooklyn","New York (NY)","3"
"City University of New York: Queens College","Flushing","New York (NY)","3"
"City University of New York: Queensborough Community College","Oakland Gardens","New York (NY)","3"
"Clark College","Vancouver","Washington (WA)","3"
"Clarkson University","Potsdam","New York (NY)","4"
"Clemson University","Clemson","South Carolina (SC)","3"
"Cleveland Community College","Shelby","North Carolina (NC)","3"
"Cleveland State University","Cleveland","Ohio (OH)","3"
"Clover Park Technical College","Lakewood","Washington (WA)","3"
"Coastal Carolina University","Conway","South Carolina (SC)","3"
"College for Creative Studies","Detroit","Michigan (MI)","3"
"College of Central Florida","Ocala","Florida (FL)","3"
"College of Charleston","Charleston","South Carolina (SC)","3"
"College of Coastal Georgia","Brunswick","Georgia (GA)","3"
"College of Lake County","Grayslake","Illinois (IL)","3"
"College of Southern Maryland","La Plata","Maryland (MD)","3"
"College of St. Benedict","Saint Joseph","Minnesota (MN)","4"
"College of St. Scholastica","Duluth","Minnesota (MN)","3"
"College of Western Idaho","Nampa","Idaho (ID)","3"
"College of William and Mary","Williamsburg","Virginia (VA)","3"
"College of Wooster","Wooster","Ohio (OH)","4"
"College of the Albemarle","Elizabeth City","North Carolina (NC)","3"
"College of the Desert","Palm Desert","California (CA)","3"
"College of the Ozarks","Point Lookout","Missouri (MO)","3"
"College of the Sequoias","Visalia","California (CA)","3"
"Collin County Community College District","McKinney","Texas (TX)","3"
"Colorado Mesa University","Grand Junction","Colorado (CO)","3"
"Colorado State University: Pueblo","Pueblo","Colorado (CO)","3"
"Columbia Basin College","Pasco","Washington (WA)","3"
"Columbia College Chicago","Chicago","Illinois (IL)","3"
"Columbus State University","Columbus","Georgia (GA)","3"
"Commonwealth University Of Pennsylvania","Bloomsburg","Pennsylvania (PA)","3"
"Commonwealth University Of Pennsylvania Lock Haven","Lock Haven","Pennsylvania (PA)","3"
"Commonwealth University Of Pennsylvania Mansfield","Mansfield","Pennsylvania (PA)","3"
"Community College of Denver","Denver","Colorado (CO)","3"
"Compton College","Compton","California (CA)","3"
"Concordia College: Moorhead","Moorhead","Minnesota (MN)","4"
"Concordia University","Seward","Nebraska (NE)","3"
"Concordia University Ann Arbor","Ann Arbor","Michigan (MI)","3"
"Concordia University Chicago","River Forest","Illinois (IL)","3"
"Concordia University Irvine","Irvine","California (CA)","3"
"Concordia University St. Paul","Saint Paul","Minnesota (MN)","3"
"Concordia University Wisconsin","Mequon","Wisconsin (WI)","3"
"Contra Costa College","San Pablo","California (CA)","3"
"Converse University","Spartanburg","South Carolina (SC)","4"
"Cornerstone University","Grand Rapids","Michigan (MI)","3"
"Cosumnes River College","Sacramento","California (CA)","3"
"Cottey College","Nevada","Missouri (MO)","3"
"Covenant College","Lookout Mountain","Georgia (GA)","4"
"Crafton Hills College","Yucaipa","California (CA)","3"
"Creighton University","Omaha","Nebraska (NE)","4"
"Cuyahoga Community College","Cleveland","Ohio (OH)","3"
"Daemen University","Buffalo","New York (NY)","4"
"Dakota County Technical College","Rosemount","Minnesota (MN)","3"
"Dakota State University","Madison","South Dakota (SD)","3"
"Davenport University","Grand Rapids","Michigan (MI)","3"
"DePaul University","Chicago","Illinois (IL)","4"
"DeSales University","Center Valley","Pennsylvania (PA)","4"
"Defiance College","Defiance","Ohio (OH)","3"
"Delaware County Community College","Media","Pennsylvania (PA)","4"
"Delaware State University","Dover","Delaware (DE)","3"
"Delta College","University Center","Michigan (MI)","3"
"Doane University","Crete","Nebraska (NE)","3"
"Drake University","Des Moines","Iowa (IA)","4"
"Drew University","Madison","New Jersey (NJ)","4"
"Drexel University","Philadelphia","Pennsylvania (PA)","4"
"Earlham College","Richmond","Indiana (IN)","4"
"East Carolina University","Greenville","North Carolina (NC)","3"
"East Los Angeles College","Monterey Park","California (CA)","3"
"East Tennessee State University","Johnson City","Tennessee (TN)","3"
