"Name of College","City","State","Minimum Score Required"
"Contra Costa College","San Pablo","California (CA)","3"
"Cornerstone University","Grand Rapids","Michigan (MI)","3"
"Creighton University","Omaha","Nebraska (NE)","4"
"Cuyahoga Community College","Cleveland","Ohio (OH)","3"
"Cuyahoga Community College Eastern Campus","Highland Hills","Ohio (OH)","3"
"Cuyahoga Community College Western Campus","Cleveland","Ohio (OH)","3"
"Cuyahoga Community College Westshore Campus","Westlake","Ohio (OH)","3"
"Dakota County Technical College","Rosemount","Minnesota (MN)","3"
"Dakota State University","Madison","South Dakota (SD)","3"
"Davenport University","Grand Rapids","Michigan (MI)","3"
"Davidson College","Davidson","North Carolina (NC)","4"
"Dawson Community College","Glendive","Montana (MT)","3"
"DePaul University","Chicago","Illinois (IL)","4"
"DeSales University","Center Valley","Pennsylvania (PA)","3"
"DeVry University: Decatur","Decatur","Georgia (GA)","3"
"Dean College","Franklin","Massachusetts (MA)","3"
"Defiance College","Defiance","Ohio (OH)","3"
"Delaware State University","Dover","Delaware (DE)","3"
"Diablo Valley College","Pleasant Hill","California (CA)","3"
"Dickinson College","Carlisle","Pennsylvania (PA)","4"
"Doane University","Crete","Nebraska (NE)","3"
"Dominican University","River Forest","Illinois (IL)","4"
"Drake University","Des Moines","Iowa (IA)","4"
"Drew University","Madison","New Jersey (NJ)","4"
"Duquesne University","Pittsburgh","Pennsylvania (PA)","3"
"East Los Angeles College","Monterey Park","California (CA)","3"
"Eastern Connecticut State University","Willimantic","Connecticut (CT)","3"
"Eastern Illinois University","Charleston","Illinois (IL)","3"
"Eastern Kentucky University","Richmond","Kentucky (KY)","3"
"Eastern Mennonite University","Harrisonburg","Virginia (VA)","4"
"Eastern Michigan University","Ypsilanti","Michigan (MI)","3"
"Eastern University","Wayne","Pennsylvania (PA)","3"
"Eckerd College","Saint Petersburg","Florida (FL)","4"
"Edgewood College","Madison","Wisconsin (WI)","3"
"Elgin Community College","Elgin","Illinois (IL)","3"
"Elizabethtown College","Elizabethtown","Pennsylvania (PA)","4"
"Embry-Riddle Aeronautical University: Daytona Beach Campus","Daytona Beach","Florida (FL)","3"
"Embry-Riddle Aeronautical University: Prescott Campus","Prescott","Arizona (AZ)","3"
"Embry-Riddle Aeronautical University: Worldwide Campus","Daytona Beach","Florida (FL)","3"
"Empire State University","Saratoga Springs","New York (NY)","3"
"Emporia State University","Emporia","Kansas (KS)","3"
"Endicott College","Beverly","Massachusetts (MA)","3"
"Ensign College","Salt Lake City","Utah (UT)","3"
"Eureka College","Eureka","Illinois (IL)","3"
"Evergreen State College","Olympia","Washington (WA)","3"
"Fairmont State University","Fairmont","West Virginia (WV)","3"
"Fashion Institute of Technology","New York","New York (NY)","3"
"Feather River College","Quincy","California (CA)","3"
"Ferris State University","Big Rapids","Michigan (MI)","3"
"Fitchburg State University","Fitchburg","Massachusetts (MA)","3"
"Flagler College","Saint Augustine","Florida (FL)","3"
"Florida Atlantic University","Boca Raton","Florida (FL)","3"
"Florida College","Temple Terrace","Florida (FL)","3"
"Florida Gulf Coast University","Fort Myers","Florida (FL)","3"
"Florida Institute of Technology","Melbourne","Florida (FL)","3"
"Florida International University","Miami","Florida (FL)","3"
"Florida SouthWestern State College","Fort Myers","Florida (FL)","3"
"Florida Southern College","Lakeland","Florida (FL)","3"
"Florida State College at Jacksonville","Jacksonville","Florida (FL)","3"
"Florida State University","Tallahassee","Florida (FL)","3"
"Folsom Lake College","Folsom","California (CA)","3"
"Fort Hays State University","Hays","Kansas (KS)","3"
"Fox Valley Technical College","Appleton","Wisconsin (WI)","3"
"Francis Marion University","Florence","South Carolina (SC)","3"
"Franklin & Marshall College","Lancaster","Pennsylvania (PA)","4"
"Franklin College","Franklin","Indiana (IN)","3"
"Frederick Community College","Frederick","Maryland (MD)","3"
"Fresno Pacific University","Fresno","California (CA)","3"
"Friends University","Wichita","Kansas (KS)","4"
"Frostburg State University","Frostburg","Maryland (MD)","3"
"Furman University","Greenville","South Carolina (SC)","4"
"Gateway Community and Technical College","Florence","Kentucky (KY)","3"
"Gavilan College","Gilroy","California (CA)","3"
"George Fox University","Newberg","Oregon (OR)","3"
"George Mason University","Fairfax","Virginia (VA)","3"
"Georgetown College","Georgetown","Kentucky (KY)","3"
"Georgia College and State University","Milledgeville","Georgia (GA)","3"
"Georgia Military College","Milledgeville","Georgia (GA)","3"
"Georgia Southern University","Statesboro","Georgia (GA)","3"
"Georgian Court University","Lakewood","New Jersey (NJ)","3"
"Gettysburg College","Gettysburg","Pennsylvania (PA)","4"
"Glendale Community College","Glendale","California (CA)","3"
"Glenville State University","Glenville","West Virginia (WV)","3"
"Gordon College","Wenham","Massachusetts (MA)","3"
"Grand Rapids Community College","Grand Rapids","Michigan (MI)","3"
"Grand Valley State University","Allendale","Michigan (MI)","3"
"Greenville University","Greenville","Illinois (IL)","3"
"Gulf Coast State College","Panama City","Florida (FL)","3"
"Gustavus Adolphus College","Saint Peter","Minnesota (MN)","4"
"Hagerstown Community College","Hagerstown","Maryland (MD)","3"
"Harper College","Palatine","Illinois (IL)","3"
"Harris-Stowe State University","Saint Louis","Missouri (MO)","3"
"Hartnell College","Salinas","California (CA)","3"
"Haverford College","Haverford","Pennsylvania (PA)","4"
"Heartland Community College","Normal","Illinois (IL)","3"
"Heidelberg University","Tiffin","Ohio (OH)","3"
"Hiram College","Hiram","Ohio (OH)","4"
"Holmes Community College","Goodman","Mississippi (MS)","3"
"Holy Family University","Philadelphia","Pennsylvania (PA)","3"
"Hope College","Holland","Michigan (MI)","4"
"Houghton University","Houghton","New York (NY)","3"
"Houston Community College System","Houston","Texas (TX)","3"
"Huntingdon College","Montgomery","Alabama (AL)","4"
"Husson University","Bangor","Maine (ME)","3"
"Illinois College","Jacksonville","Illinois (IL)","3"
"Illinois State University","Normal","Illinois (IL)","3"
"Illinois Wesleyan University","Bloomington","Illinois (IL)","4"
"Indian River State College","Fort Pierce","Florida (FL)","3"
"Indiana State University","Terre Haute","Indiana (IN)","3"
"Indiana University East","Richmond","Indiana (IN)","3"
"Indiana University Kokomo","Kokomo","Indiana (IN)","3"
"Indiana University Northwest","Gary","Indiana (IN)","3"
"Indiana University of Pennsylvania","Indiana","Pennsylvania (PA)","3"
"Indiana Wesleyan University","Marion","Indiana (IN)","3"
"Iona University","New Rochelle","New York (NY)","3"
"Ithaca College","Ithaca","New York (NY)","3"
"Jacksonville University","Jacksonville","Florida (FL)","3"
"Jefferson Community and Technical College","Louisville","Kentucky (KY)","3"
"John Carroll University","Cleveland","Ohio (OH)","3"
"Johnson & Wales University: Providence","Providence","Rhode Island (RI)","3"
"Joliet Junior College","Joliet","Illinois (IL)","3"
"Judson University","Elgin","Illinois (IL)","3"
"Juniata College","Huntingdon","Pennsylvania (PA)","4"
"Kansas State University","Manhattan","Kansas (KS)","3"
"Kennebec Valley Community College","Fairfield","Maine (ME)","3"
"Kent State University","Kent","Ohio (OH)","3"
"Kent State University: Ashtabula","Ashtabula","Ohio (OH)","3"
"Kent State University: East Liverpool","East Liverpool","Ohio (OH)","3"
"Kent State University: Geauga","Burton","Ohio (OH)","3"
"Kent State University: Salem","Salem","Ohio (OH)","3"
"Kent State University: Stark","North Canton","Ohio (OH)","3"
"Kent State University: Trumbull","Warren","Ohio (OH)","3"
"Kent State University: Tuscarawas","New Philadelphia","Ohio (OH)","3"
"Kettering University","Flint","Michigan (MI)","4"
"Keystone College","La Plume","Pennsylvania (PA)","3"
"Kishwaukee College","Malta","Illinois (IL)","3"
"LIU Brooklyn","Brooklyn","New York (NY)","3"
"Lake Erie College","Painesville","Ohio (OH)","4"
"Lake Region State College","Devils Lake","North Dakota (ND)","3"
"Lake Superior College","Duluth","Minnesota (MN)","3"
"Lake-Sumter State College","Leesburg","Florida (FL)","3"
"Lambuth University","Jackson","Tennessee (TN)","3"
"Lander University","Greenwood","South Carolina (SC)","3"
"Landmark College","Putney","Vermont (VT)","3"
"Las Positas College","Livermore","California (CA)","3"
"Le Moyne College","Syracuse","New York (NY)","3"
"Lebanon Valley College","Annville","Pennsylvania (PA)","4"
"Lewis University","Romeoville","Illinois (IL)","3"
"Liberty University","Lynchburg","Virginia (VA)","3"
"Limestone University","Gaffney","South Carolina (SC)","3"
"Lincoln Land Community College","Springfield","Illinois (IL)","3"
"Lincoln University","Lincoln University","Pennsylvania (PA)","4"
"Lindenwood University","Saint Charles","Missouri (MO)","3"
"Linfield University","McMinnville","Oregon (OR)","4"
"Lipscomb University","Nashville","Tennessee (TN)","3"
"Logan University","Chesterfield","Missouri (MO)","3"
"Long Island University","Greenvale","New York (NY)","3"
"Longwood University","Farmville","Virginia (VA)","3"
"Loras College","Dubuque","Iowa (IA)","3"
"Luther College","Decorah","Iowa (IA)","4"
"Manchester University","North Manchester","Indiana (IN)","3"
"Marian University","Indianapolis","Indiana (IN)","3"
"Marietta College","Marietta","Ohio (OH)","3"
"Marion Technical College","Marion","Ohio (OH)","3"
"Marquette University","Milwaukee","Wisconsin (WI)","4"
"Marymount Manhattan College","New York","New York (NY)","3"
"Marymount University","Arlington","Virginia (VA)","4"
"Maryville University of Saint Louis","Saint Louis","Missouri (MO)","3"
"Massachusetts Institute of Technology","Cambridge","Massachusetts (MA)","5"
"Massachusetts Maritime Academy","Buzzards Bay","Massachusetts (MA)","3"
"Mayville State University","Mayville","North Dakota (ND)","3"
"McDaniel College","Westminster","Maryland (MD)","3"
"McHenry County College","Crystal Lake","Illinois (IL)","3"
"Mercer University","Macon","Georgia (GA)","3"
"Merrimack College","North Andover","Massachusetts (MA)","3"
"Messiah University","Mechanicsburg","Pennsylvania (PA)","3"
"Metropolitan State University","Saint Paul","Minnesota (MN)","3"
"Miami Dade College","Miami","Florida (FL)","3"
"Miami University: Hamilton","Hamilton","Ohio (OH)","3"
"Miami University: Middletown","Middletown","Ohio (OH)","3"
"Miami University: Oxford","Oxford","Ohio (OH)","3"
"Millersville University of Pennsylvania","Millersville","Pennsylvania (PA)","3"
"Milligan University","Milligan College","Tennessee (TN)","3"
"Millikin University","Decatur","Illinois (IL)","3"
"Minneapolis Community and Technical College","Minneapolis","Minnesota (MN)","3"
"Minnesota State University Mankato","Mankato","Minnesota (MN)","3"
"Minnesota State University Moorhead","Moorhead","Minnesota (MN)","3"
"Minot State University","Minot","North Dakota (ND)","3"
"Mississippi Valley State University","Itta Bena","Mississippi (MS)","3"
"Missouri State University","Springfield","Missouri (MO)","4"
"Missouri University of Science and Technology","Rolla","Missouri (MO)","3"
"Mohave Community College","Kingman","Arizona (AZ)","3"
"Molloy University","Rockville Centre","New York (NY)","3"
