"Name of College","City","State","Minimum Score Required"
"California State University: Chico","Chico","California (CA)","3"
"California State University: Dominguez Hills","Carson","California (CA)","3"
"California State University: East Bay","Hayward","California (CA)","3"
"California State University: Fresno","Fresno","California (CA)","3"
"California State University: Fullerton","Fullerton","California (CA)","3"
"California State University: Long Beach","Long Beach","California (CA)","3"
"California State University: Los Angeles","Los Angeles","California (CA)","3"
"California State University: Monterey Bay","Seaside","California (CA)","3"
"California State University: Northridge","Northridge","California (CA)","3"
"California State University: Sacramento","Sacramento","California (CA)","3"
"California State University: San Bernardino","San Bernardino","California (CA)","3"
"California State University: San Marcos","San Marcos","California (CA)","3"
"California State University: Stanislaus","Turlock","California (CA)","3"
"Calvin University","Grand Rapids","Michigan (MI)","3"
"Canada College","Redwood City","California (CA)","3"
"Cape Fear Community College","Wilmington","North Carolina (NC)","3"
"Capital University","Columbus","Ohio (OH)","3"
"Carleton College","Northfield","Minnesota (MN)","4"
"Carnegie Mellon University","Pittsburgh","Pennsylvania (PA)","4"
"Carroll College","Helena","Montana (MT)","4"
"Carteret Community College","Morehead City","North Carolina (NC)","3"
"Cascadia College","Bothell","Washington (WA)","3"
"Case Western Reserve University","Cleveland","Ohio (OH)","4"
"Catholic International University","Charles Town","West Virginia (WV)","3"
"Catholic University of America","Washington","District Of Columbia (DC)","2"
"Cedar Crest College","Allentown","Pennsylvania (PA)","4"
"Cedarville University","Cedarville","Ohio (OH)","3"
"Centenary University","Hackettstown","New Jersey (NJ)","3"
"Central Connecticut State University","New Britain","Connecticut (CT)","3"
"Central Maine Community College","Auburn","Maine (ME)","3"
"Central Michigan University","Mount Pleasant","Michigan (MI)","3"
"Central Ohio Technical College","Newark","Ohio (OH)","3"
"Central Oregon Community College","Bend","Oregon (OR)","3"
"Central Piedmont Community College","Charlotte","North Carolina (NC)","3"
"Central State University","Wilberforce","Ohio (OH)","3"
"Central Texas College","Killeen","Texas (TX)","3"
"Century College","Saint Paul","Minnesota (MN)","3"
"Cerritos College","Norwalk","California (CA)","3"
"Cerro Coso Community College","Ridgecrest","California (CA)","3"
"Chabot College","Hayward","California (CA)","3"
"Chaffey College","Rancho Cucamonga","California (CA)","3"
"Chaminade University of Honolulu","Honolulu","Hawaii (HI)","3"
"Chandler-Gilbert Community College","Chandler","Arizona (AZ)","3"
"Chapman University","Orange","California (CA)","3"
"Charles R Drew University of Medicine and Science","Los Angeles","California (CA)","3"
"Charleston Southern University","North Charleston","South Carolina (SC)","3"
"Charter Oak State College","New Britain","Connecticut (CT)","3"
"Chatham University","Pittsburgh","Pennsylvania (PA)","4"
"Chattanooga State Community College","Chattanooga","Tennessee (TN)","3"
"Chemeketa Community College","Salem","Oregon (OR)","3"
"Chestnut Hill College","Philadelphia","Pennsylvania (PA)","3"
"Chicago State University","Chicago","Illinois (IL)","3"
"Chipola College","Marianna","Florida (FL)","3"
"Chowan University","Murfreesboro","North Carolina (NC)","3"
"Christopher Newport University","Newport News","Virginia (VA)","3"
"Cincinnati State Technical and Community College","Cincinnati","Ohio (OH)","3"
"Citrus College","Glendora","California (CA)","3"
"City College of San Francisco","San Francisco","California (CA)","3"
"City University of New York: Baruch College","New York","New York (NY)","3"
"City University of New York: Borough of Manhattan Community College","New York","New York (NY)","3"
"City University of New York: Bronx Community College","Bronx","New York (NY)","3"
"City University of New York: Brooklyn College","Brooklyn","New York (NY)","3"
"City University of New York: CUNY Online","New York","New York (NY)","3"
"City University of New York: City College","New York","New York (NY)","3"
"City University of New York: College of Staten Island","Staten Island","New York (NY)","3"
"City University of New York: Hunter College","New York","New York (NY)","3"
"City University of New York: John Jay College of Criminal Justice","New York","New York (NY)","3"
"City University of New York: Lehman College","Bronx","New York (NY)","3"
"City University of New York: Medgar Evers College","Brooklyn","New York (NY)","3"
"City University of New York: New York City College of Technology","Brooklyn","New York (NY)","3"
"City University of New York: York College","Jamaica","New York (NY)","3"
"Claremont McKenna College","Claremont","California (CA)","4"
"Clark College","Vancouver","Washington (WA)","3"
"Clark State College","Springfield","Ohio (OH)","3"
"Clark University","Worcester","Massachusetts (MA)","4"
"Clarkson University","Potsdam","New York (NY)","4"
"Clemson University","Clemson","South Carolina (SC)","3"
"Cleveland Institute of Art","Cleveland","Ohio (OH)","3"
"Cleveland State Community College","Cleveland","Tennessee (TN)","3"
"Cleveland State University","Cleveland","Ohio (OH)","3"
"Clinton Community College","Plattsburgh","New York (NY)","3"
"Clover Park Technical College","Lakewood","Washington (WA)","3"
"Coastal Carolina Community College","Jacksonville","North Carolina (NC)","3"
"Coastal Carolina University","Conway","South Carolina (SC)","3"
"Coastline Community College","Fountain Valley","California (CA)","3"
"Coconino County Community College","Flagstaff","Arizona (AZ)","3"
"Coe College","Cedar Rapids","Iowa (IA)","4"
"Colby College","Waterville","Maine (ME)","5"
"Colby-Sawyer College","New London","New Hampshire (NH)","3"
"College Of The Florida Keys","Key West","Florida (FL)","3"
"College for Creative Studies","Detroit","Michigan (MI)","3"
"College of Alameda","Alameda","California (CA)","3"
"College of Central Florida","Ocala","Florida (FL)","3"
"College of Charleston","Charleston","South Carolina (SC)","3"
"College of Coastal Georgia","Brunswick","Georgia (GA)","3"
"College of Eastern Idaho","Idaho Falls","Idaho (ID)","3"
"College of Lake County","Grayslake","Illinois (IL)","3"
"College of Marin","Kentfield","California (CA)","3"
"College of San Mateo","San Mateo","California (CA)","3"
"College of Southern Idaho","Twin Falls","Idaho (ID)","3"
"College of Southern Maryland","La Plata","Maryland (MD)","3"
"College of Southern Nevada","Las Vegas","Nevada (NV)","3"
"College of St. Benedict","Saint Joseph","Minnesota (MN)","4"
"College of St. Scholastica","Duluth","Minnesota (MN)","3"
"College of Western Idaho","Nampa","Idaho (ID)","3"
"College of William and Mary","Williamsburg","Virginia (VA)","4"
"College of the Albemarle","Elizabeth City","North Carolina (NC)","3"
"College of the Atlantic","Bar Harbor","Maine (ME)","4"
"College of the Canyons","Valencia","California (CA)","3"
"College of the Desert","Palm Desert","California (CA)","3"
"College of the Holy Cross","Worcester","Massachusetts (MA)","4"
"College of the Sequoias","Visalia","California (CA)","3"
"Colorado College","Colorado Springs","Colorado (CO)","4"
"Colorado Mesa University","Grand Junction","Colorado (CO)","3"
"Colorado Northwestern Community College","Rangely","Colorado (CO)","3"
"Colorado School of Mines","Golden","Colorado (CO)","4"
"Colorado State University","Fort Collins","Colorado (CO)","3"
"Colorado State University: Pueblo","Pueblo","Colorado (CO)","3"
"Columbia Basin College","Pasco","Washington (WA)","3"
"Columbia College","Sonora","California (CA)","3"
"Columbia College","Columbia","South Carolina (SC)","4"
"Columbia College Chicago","Chicago","Illinois (IL)","3"
"Columbia Gorge Community College","The Dalles","Oregon (OR)","3"
"Columbia International University","Columbia","South Carolina (SC)","3"
"Columbia State Community College","Columbia","Tennessee (TN)","3"
"Columbus State Community College Columbus Campus","Columbus","Ohio (OH)","3"
"Columbus State University","Columbus","Georgia (GA)","3"
"Commonwealth University Of Pennsylvania","Bloomsburg","Pennsylvania (PA)","3"
"Commonwealth University Of Pennsylvania Lock Haven","Lock Haven","Pennsylvania (PA)","3"
"Commonwealth University Of Pennsylvania Mansfield","Mansfield","Pennsylvania (PA)","3"
"Community College of Allegheny County","Pittsburgh","Pennsylvania (PA)","3"
"Community College of Baltimore County","Rosedale","Maryland (MD)","3"
"Community College of Baltimore County - Essex","Rosedale","Maryland (MD)","3"
"Community College of Philadelphia","Philadelphia","Pennsylvania (PA)","3"
"Concord University","Athens","West Virginia (WV)","3"
"Concordia College: Moorhead","Moorhead","Minnesota (MN)","3"
"Concordia University","Seward","Nebraska (NE)","3"
"Concordia University Ann Arbor","Ann Arbor","Michigan (MI)","3"
"Concordia University Chicago","River Forest","Illinois (IL)","3"
"Concordia University Irvine","Irvine","California (CA)","3"
"Concordia University St. Paul","Saint Paul","Minnesota (MN)","3"
"Concordia University Wisconsin","Mequon","Wisconsin (WI)","3"
"Connecticut College","New London","Connecticut (CT)","4"
"Contra Costa College","San Pablo","California (CA)","3"
"Copper Mountain College","Joshua Tree","California (CA)","3"
"Corban University","Salem","Oregon (OR)","3"
"Cornerstone University","Grand Rapids","Michigan (MI)","3"
"Cosumnes River College","Sacramento","California (CA)","3"
"Covenant College","Lookout Mountain","Georgia (GA)","4"
"Crafton Hills College","Yucaipa","California (CA)","3"
"Creighton University","Omaha","Nebraska (NE)","3"
"Cuesta College","San Luis Obispo","California (CA)","3"
"Cuyahoga Community College","Cleveland","Ohio (OH)","3"
"Cuyahoga Community College Eastern Campus","Highland Hills","Ohio (OH)","3"
"Cuyahoga Community College Western Campus","Cleveland","Ohio (OH)","3"
"Cuyahoga Community College Westshore Campus","Westlake","Ohio (OH)","3"
"Cuyamaca College","El Cajon","California (CA)","3"
"Cypress College","Cypress","California (CA)","3"
"Daemen University","Buffalo","New York (NY)","3"
"Dakota County Technical College","Rosemount","Minnesota (MN)","3"
"Dakota State University","Madison","South Dakota (SD)","3"
"Dallas Christian College","Dallas","Texas (TX)","3"
"Dallas College: Brookhaven Campus","Dallas","Texas (TX)","3"
"Dallas College: Eastfield Campus","Mesquite","Texas (TX)","3"
"Dallas College: North Lake Campus","Irving","Texas (TX)","3"
"Dallas College: Richland Campus","Dallas","Texas (TX)","3"
"Davenport University","Grand Rapids","Michigan (MI)","3"
"Davidson College","Davidson","North Carolina (NC)","4"
"Davidson Davie Community College","Thomasville","North Carolina (NC)","3"
"Daytona State College","Daytona Beach","Florida (FL)","3"
"De Anza College","Cupertino","California (CA)","3"
"DePaul University","Chicago","Illinois (IL)","3"
"DeSales University","Center Valley","Pennsylvania (PA)","3"
"DeVry University: Decatur","Decatur","Georgia (GA)","3"
"Defiance College","Defiance","Ohio (OH)","4"
"Delaware State University","Dover","Delaware (DE)","3"
"Denison University","Granville","Ohio (OH)","4"
"Diablo Valley College","Pleasant Hill","California (CA)","3"
"Dickinson College","Carlisle","Pennsylvania (PA)","4"
"DigiPen Institute of Technology","Redmond","Washington (WA)","4"
"Doane University","Crete","Nebraska (NE)","3"
"Dominican University New York","Orangeburg","New York (NY)","3"
"Dominican University of California","San Rafael","California (CA)","3"
"Drake University","Des Moines","Iowa (IA)","4"
"Drew University","Madison","New Jersey (NJ)","4"
"Drexel University","Philadelphia","Pennsylvania (PA)","4"
"Drury University","Springfield","Missouri (MO)","3"
"Duke University","Durham","North Carolina (NC)","4"
"Duquesne University","Pittsburgh","Pennsylvania (PA)","3"
"Durham Technical Community College","Durham","North Carolina (NC)","3"
"Earlham College","Richmond","Indiana (IN)","4"
"East Central University","Ada","Oklahoma (OK)","3"
"East Georgia State College","Swainsboro","Georgia (GA)","3"
"East Los Angeles College","Monterey Park","California (CA)","3"
"East Tennessee State University","Johnson City","Tennessee (TN)","3"
"Eastern Arizona College","Thatcher","Arizona (AZ)","3"
