"Name of College","City","State","Minimum Score Required"
"California State University: Long Beach","Long Beach","California (CA)","3"
"California State University: Los Angeles","Los Angeles","California (CA)","3"
"California State University: Monterey Bay","Seaside","California (CA)","3"
"California State University: Northridge","Northridge","California (CA)","3"
"California State University: Sacramento","Sacramento","California (CA)","3"
"California State University: San Bernardino","San Bernardino","California (CA)","3"
"California State University: San Marcos","San Marcos","California (CA)","3"
"California State University: Stanislaus","Turlock","California (CA)","3"
"Cameron University","Lawton","Oklahoma (OK)","3"
"Campbellsville University","Campbellsville","Kentucky (KY)","3"
"Capital University","Columbus","Ohio (OH)","3"
"Capitol Technology University","Laurel","Maryland (MD)","3"
"Carleton College","Northfield","Minnesota (MN)","5"
"Carnegie Mellon University","Pittsburgh","Pennsylvania (PA)","4"
"Carroll College","Helena","Montana (MT)","4"
"Carroll Community College","Westminster","Maryland (MD)","3"
"Carson-Newman University","Jefferson City","Tennessee (TN)","3"
"Carthage College","Kenosha","Wisconsin (WI)","3"
"Casper College","Casper","Wyoming (WY)","4"
"Catholic University of America","Washington","District Of Columbia (DC)","4"
"Cecil College","North East","Maryland (MD)","3"
"Cedarville University","Cedarville","Ohio (OH)","3"
"Centenary University","Hackettstown","New Jersey (NJ)","3"
"Central Arizona College","Coolidge","Arizona (AZ)","5"
"Central Carolina Community College","Sanford","North Carolina (NC)","3"
"Central Carolina Technical College","Sumter","South Carolina (SC)","3"
"Central College","Pella","Iowa (IA)","4"
"Central Connecticut State University","New Britain","Connecticut (CT)","3"
"Central Georgia Technical College","Warner Robins","Georgia (GA)","3"
"Central Methodist University","Fayette","Missouri (MO)","4"
"Central Michigan University","Mount Pleasant","Michigan (MI)","3"
"Central Ohio Technical College","Newark","Ohio (OH)","3"
"Central Oregon Community College","Bend","Oregon (OR)","3"
"Central Piedmont Community College","Charlotte","North Carolina (NC)","3"
"Central State University","Wilberforce","Ohio (OH)","3"
"Central Texas College","Killeen","Texas (TX)","3"
"Central Washington University","Ellensburg","Washington (WA)","3"
"Centre College","Danville","Kentucky (KY)","4"
"Century College","Saint Paul","Minnesota (MN)","3"
"Cerritos College","Norwalk","California (CA)","3"
"Chabot College","Hayward","California (CA)","3"
"Chaffey College","Rancho Cucamonga","California (CA)","3"
"Chaminade University of Honolulu","Honolulu","Hawaii (HI)","3"
"Champlain College","Burlington","Vermont (VT)","3"
"Chapman University","Orange","California (CA)","5"
"Charleston Southern University","North Charleston","South Carolina (SC)","4"
"Charter Oak State College","New Britain","Connecticut (CT)","3"
"Chatham University","Pittsburgh","Pennsylvania (PA)","4"
"Chattanooga State Community College","Chattanooga","Tennessee (TN)","3"
"Chemeketa Community College","Salem","Oregon (OR)","3"
"Chicago State University","Chicago","Illinois (IL)","3"
"Chippewa Valley Technical College","Eau Claire","Wisconsin (WI)","3"
"Christian Brothers University","Memphis","Tennessee (TN)","4"
"Christopher Newport University","Newport News","Virginia (VA)","3"
"Cincinnati State Technical and Community College","Cincinnati","Ohio (OH)","3"
"Citrus College","Glendora","California (CA)","3"
"City University of New York: Baruch College","New York","New York (NY)","3"
"City University of New York: Borough of Manhattan Community College","New York","New York (NY)","3"
"City University of New York: Bronx Community College","Bronx","New York (NY)","3"
"City University of New York: Brooklyn College","Brooklyn","New York (NY)","3"
"City University of New York: CUNY Online","New York","New York (NY)","3"
"City University of New York: City College","New York","New York (NY)","3"
"City University of New York: College of Staten Island","Staten Island","New York (NY)","3"
"City University of New York: Hunter College","New York","New York (NY)","3"
"City University of New York: John Jay College of Criminal Justice","New York","New York (NY)","3"
"City University of New York: Lehman College","Bronx","New York (NY)","3"
"City University of New York: Medgar Evers College","Brooklyn","New York (NY)","3"
"City University of New York: New York City College of Technology","Brooklyn","New York (NY)","3"
"City University of New York: York College","Jamaica","New York (NY)","3"
"Clark Atlanta University","Atlanta","Georgia (GA)","3"
"Clark College","Vancouver","Washington (WA)","3"
"Clark University","Worcester","Massachusetts (MA)","4"
"Clarke University","Dubuque","Iowa (IA)","3"
"Clarkson University","Potsdam","New York (NY)","4"
"Clemson University","Clemson","South Carolina (SC)","3"
"Cleveland Community College","Shelby","North Carolina (NC)","3"
"Cleveland State University","Cleveland","Ohio (OH)","3"
"Coastal Carolina Community College","Jacksonville","North Carolina (NC)","3"
