"Name of College","City","State","Minimum Score Required"
"University of California: Davis","Davis","California (CA)","3"
"University of California: Irvine","Irvine","California (CA)","3"
"University of California: Los Angeles","Los Angeles","California (CA)","3"
"University of California: Riverside","Riverside","California (CA)","3"
"University of California: Santa Barbara","Santa Barbara","California (CA)","3"
"University of California: Santa Cruz","Santa Cruz","California (CA)","3"
"University of Cincinnati","Cincinnati","Ohio (OH)","3"
"University of Colorado Boulder","Boulder","Colorado (CO)","3"
"University of Colorado Colorado Springs","Colorado Springs","Colorado (CO)","3"
"University of Dayton","Dayton","Ohio (OH)","3"
"University of Delaware","Newark","Delaware (DE)","3"
"University of Denver","Denver","Colorado (CO)","4"
"University of Detroit Mercy","Detroit","Michigan (MI)","3"
"University of Hartford","West Hartford","Connecticut (CT)","3"
"University of Hawaii at Hilo","Hilo","Hawaii (HI)","3"
"University of Hawaii at Manoa","Honolulu","Hawaii (HI)","3"
"University of Houston","Houston","Texas (TX)","3"
"University of Idaho","Moscow","Idaho (ID)","3"
"University of Iowa","Iowa City","Iowa (IA)","4"
"University of Kansas","Lawrence","Kansas (KS)","3"
"University of Kentucky","Lexington","Kentucky (KY)","3"
"University of La Verne","La Verne","California (CA)","3"
"University of Louisville","Louisville","Kentucky (KY)","3"
"University of Maine","Orono","Maine (ME)","3"
"University of Mary Washington","Fredericksburg","Virginia (VA)","3"
"University of Maryland: Baltimore County","Baltimore","Maryland (MD)","3"
"University of Maryland: College Park","College Park","Maryland (MD)","3"
"University of Maryland: Eastern Shore","Princess Anne","Maryland (MD)","3"
"University of Massachusetts Amherst","Amherst","Massachusetts (MA)","4"
"University of Massachusetts Lowell","Lowell","Massachusetts (MA)","3"
"University of Miami","Coral Gables","Florida (FL)","3"
"University of Minnesota: Morris","Morris","Minnesota (MN)","3"
"University of Minnesota: Rochester","Rochester","Minnesota (MN)","3"
"University of Mississippi","University","Mississippi (MS)","3"
"University of Missouri: Columbia","Columbia","Missouri (MO)","3"
"University of Missouri: Kansas City","Kansas City","Missouri (MO)","3"
"University of Montana","Missoula","Montana (MT)","3"
"University of Montevallo","Montevallo","Alabama (AL)","4"
"University of Mount Union","Alliance","Ohio (OH)","4"
"University of Nebraska - Omaha","Omaha","Nebraska (NE)","3"
"University of Nevada: Las Vegas","Las Vegas","Nevada (NV)","3"
"University of Nevada: Reno","Reno","Nevada (NV)","3"
"University of New Hampshire","Durham","New Hampshire (NH)","3"
"University of New Haven","West Haven","Connecticut (CT)","3"
"University of New Mexico","Albuquerque","New Mexico (NM)","3"
"University of North Carolina at Asheville","Asheville","North Carolina (NC)","3"
"University of North Carolina at Chapel Hill","Chapel Hill","North Carolina (NC)","3"
"University of North Carolina at Charlotte","Charlotte","North Carolina (NC)","3"
"University of North Carolina at Greensboro","Greensboro","North Carolina (NC)","3"
"University of North Dakota","Grand Forks","North Dakota (ND)","3"
"University of North Texas","Denton","Texas (TX)","3"
"University of Northern Colorado","Greeley","Colorado (CO)","3"
"University of Oklahoma","Norman","Oklahoma (OK)","3"
"University of Oregon","Eugene","Oregon (OR)","3"
"University of Rhode Island","Kingston","Rhode Island (RI)","3"
"University of Richmond","Richmond","Virginia (VA)","5"
"University of Rochester","Rochester","New York (NY)","4"
"University of Saint Joseph","West Hartford","Connecticut (CT)","4"
"University of San Diego","San Diego","California (CA)","4"
"University of San Francisco","San Francisco","California (CA)","3"
"University of Scranton","Scranton","Pennsylvania (PA)","4"
"University of South Carolina: Beaufort","Beaufort","South Carolina (SC)","3"
"University of South Carolina: Columbia","Columbia","South Carolina (SC)","3"
"University of South Carolina: Upstate","Spartanburg","South Carolina (SC)","3"
"University of Southern Indiana","Evansville","Indiana (IN)","3"
"University of Southern Maine","Portland","Maine (ME)","3"
"University of Tampa","Tampa","Florida (FL)","3"
"University of Texas at Arlington","Arlington","Texas (TX)","3"
"University of Texas at El Paso","El Paso","Texas (TX)","3"
"University of Toledo","Toledo","Ohio (OH)","3"
"University of Tulsa","Tulsa","Oklahoma (OK)","4"
"University of Utah","Salt Lake City","Utah (UT)","3"
"University of Vermont","Burlington","Vermont (VT)","4"
"University of Virginia","Charlottesville","Virginia (VA)","4"
"University of Washington","Seattle","Washington (WA)","3"
"University of Washington Bothell","Bothell","Washington (WA)","3"
"University of Washington Tacoma","Tacoma","Washington (WA)","3"
"University of West Georgia","Carrollton","Georgia (GA)","3"
"University of Wisconsin-Eau Claire","Eau Claire","Wisconsin (WI)","3"
"University of Wisconsin-La Crosse","La Crosse","Wisconsin (WI)","3"
"University of Wisconsin-Madison","Madison","Wisconsin (WI)","3"
"University of Wisconsin-Oshkosh","Oshkosh","Wisconsin (WI)","3"
"University of Wisconsin-Platteville","Platteville","Wisconsin (WI)","3"
"University of Wisconsin-Stevens Point","Stevens Point","Wisconsin (WI)","3"
"University of Wisconsin-Whitewater","Whitewater","Wisconsin (WI)","3"
"University of the Incarnate Word","San Antonio","Texas (TX)","3"
"Ursuline College","Cleveland","Ohio (OH)","3"
"Valley City State University","Valley City","North Dakota (ND)","3"
"Vanderbilt University","Nashville","Tennessee (TN)","4"
"Virginia Polytechnic Institute and State University","Blacksburg","Virginia (VA)","3"
"Walla Walla Community College","Walla Walla","Washington (WA)","3"
"Washington State University","Pullman","Washington (WA)","3"
"Washington University in St. Louis","Saint Louis","Missouri (MO)","4"
"Waubonsee Community College","Sugar Grove","Illinois (IL)","3"
"Wayne State University","Detroit","Michigan (MI)","3"
"Waynesburg University","Waynesburg","Pennsylvania (PA)","3"
"Wenatchee Valley College","Wenatchee","Washington (WA)","3"
"Wesleyan College","Macon","Georgia (GA)","3"
"Wesleyan University","Middletown","Connecticut (CT)","4"
"West Kentucky Community and Technical College","Paducah","Kentucky (KY)","3"
"West Texas A&M University","Canyon","Texas (TX)","3"
"West Virginia University","Morgantown","West Virginia (WV)","3"
"Western Carolina University","Cullowhee","North Carolina (NC)","3"
"Western Colorado University","Gunnison","Colorado (CO)","3"
"Western Connecticut State University","Danbury","Connecticut (CT)","3"
"Western Illinois University","Macomb","Illinois (IL)","3"
"Western Kentucky University","Bowling Green","Kentucky (KY)","3"
"Western Michigan University","Kalamazoo","Michigan (MI)","4"
"Western New England University","Springfield","Massachusetts (MA)","3"
"Western New Mexico University","Silver City","New Mexico (NM)","3"
"Western Washington University","Bellingham","Washington (WA)","3"
"Westminster Choir College of Rider University","Lawrence Township","New Jersey (NJ)","3"
"Westminster College","New Wilmington","Pennsylvania (PA)","4"
"Westminster University","Salt Lake City","Utah (UT)","3"
"Westmont College","Santa Barbara","California (CA)","4"
"Whatcom Community College","Bellingham","Washington (WA)","3"
"Wheaton College","Norton","Massachusetts (MA)","4"
"Wichita State University","Wichita","Kansas (KS)","3"
"Widener University","Chester","Pennsylvania (PA)","3"
"Willamette University","Salem","Oregon (OR)","4"
"William Paterson University of New Jersey","Wayne","New Jersey (NJ)","3"
"William Woods University","Fulton","Missouri (MO)","3"
"Williston State College","Williston","North Dakota (ND)","3"
"Winthrop University","Rock Hill","South Carolina (SC)","3"
"Wittenberg University","Springfield","Ohio (OH)","4"
"Wofford College","Spartanburg","South Carolina (SC)","4"
"Worcester Polytechnic Institute","Worcester","Massachusetts (MA)","4"
"Worcester State University","Worcester","Massachusetts (MA)","3"
"Xavier University","Cincinnati","Ohio (OH)","4"
"Yakima Valley College","Yakima","Washington (WA)","3"
"York College of Pennsylvania","York","Pennsylvania (PA)","3"
"Youngstown State University","Youngstown","Ohio (OH)","3"
