"Name of College","City","State","Minimum Score Required"
"Davidson College","Davidson","North Carolina (NC)","4"
"DePaul University","Chicago","Illinois (IL)","4"
"DeSales University","Center Valley","Pennsylvania (PA)","4"
"Delaware County Community College","Media","Pennsylvania (PA)","3"
"Delaware State University","Dover","Delaware (DE)","3"
"Delta State University","Cleveland","Mississippi (MS)","3"
"Dickinson College","Carlisle","Pennsylvania (PA)","4"
"Dickinson State University","Dickinson","North Dakota (ND)","3"
"Doane University","Crete","Nebraska (NE)","3"
"Dominican University","River Forest","Illinois (IL)","3"
"Drake University","Des Moines","Iowa (IA)","4"
"Drew University","Madison","New Jersey (NJ)","4"
"Duke University","Durham","North Carolina (NC)","4"
"Duquesne University","Pittsburgh","Pennsylvania (PA)","3"
"Earlham College","Richmond","Indiana (IN)","4"
"East Carolina University","Greenville","North Carolina (NC)","3"
"East Central Community College","Decatur","Mississippi (MS)","3"
"East Mississippi Community College","Scooba","Mississippi (MS)","3"
"Eastern Kentucky University","Richmond","Kentucky (KY)","3"
"Eastern Oregon University","La Grande","Oregon (OR)","3"
"Eastern Washington University","Cheney","Washington (WA)","3"
"Edmonds College","Lynnwood","Washington (WA)","3"
"Elizabethtown Community and Technical College","Elizabethtown","Kentucky (KY)","3"
"Elmira College","Elmira","New York (NY)","4"
"Elon University","Elon","North Carolina (NC)","4"
"Emory University","Atlanta","Georgia (GA)","5"
"Empire State University","Saratoga Springs","New York (NY)","3"
"Endicott College","Beverly","Massachusetts (MA)","3"
"Eureka College","Eureka","Illinois (IL)","3"
"Everett Community College","Everett","Washington (WA)","3"
"Fairfield University","Fairfield","Connecticut (CT)","4"
"Fairmont State University","Fairmont","West Virginia (WV)","3"
"Fashion Institute of Technology","New York","New York (NY)","3"
"Ferris State University","Big Rapids","Michigan (MI)","3"
"Florida Institute of Technology","Melbourne","Florida (FL)","3"
"Florida Southern College","Lakeland","Florida (FL)","3"
"Fordham University","Bronx","New York (NY)","4"
"Fort Lewis College","Durango","Colorado (CO)","3"
"Francis Marion University","Florence","South Carolina (SC)","3"
"Franklin & Marshall College","Lancaster","Pennsylvania (PA)","4"
"Frederick Community College","Frederick","Maryland (MD)","3"
"Front Range Community College","Westminster","Colorado (CO)","3"
"Furman University","Greenville","South Carolina (SC)","4"
"Gadsden State Community College","Gadsden","Alabama (AL)","3"
